order_id,customer_id,product,amount,order_date,status
O00460,C0017,HDMI Cable,18.78,16/12/2023,refund
O00967,C0116,Webcam,80.51,05-16-2024,completed
O00679,C0045,Mouse Pad,27.16,08-22-2023,REFUNDED
O00353,C0097,Bluetooth Speaker,266.95,11-24-2025,Pending
O00487,C0122,Desk Lamp,173.61,23/04/2024,Cancelled
O00597,C0035,Desk Lamp,167.15,10-01-2025,REFUNDED
O00753,C0178,Bluetooth Speaker,370.56,11-09-2024,Cancelled
O00401,C0018,Pen Set,50.54,,Cancelled
O00786,C0089,Marker Set,31.75,25/12/2023,CANCELLED
O00133,C0070,Mouse Pad,13.56,07/06/2023,canceled
O00828,C0044,Phone Case,59.63,2025-09-23,refunded
O00463,C0099,Keyboard,240.18,01/06/2025,pend
O00820,C0090,Mouse Pad,58.83,04-29-2023,CANCELLED
O00626,C0077,Headphones,317.88,2025-04-12,cancelled
O00646,C0059,Phone Case,26.75,14/08/2025,refunded
O00542,C0129,Mouse Pad,18.74,21/08/2024,cancelled
O00294,C0125,HDMI Cable,70.11,2025-06-19,Refunded
O00093,C0148,Monitor,1749.62,2025-07-26,refunded
O00658,C0162,Backpack,56.0,08-07-2025,done
O00319,C0028,Standing Desk,507.57,08-28-2023,REFUNDED
O00144,C0164,Pen Set,,2023-09-25,pend
O00790,C0054,Mouse Pad,18.54,03/08/2025,Cancelled
O00069,C0022,Cable Organizer,82.33,2023-05-31,Cancelled
O00317,C0024,Standing Desk,1513.12,13/12/2024,Pending
O00117,C0034,Earbuds,127.97,01-17-2023,refunded
O00102,C0030,Webcam,365.53,03-27-2023,Complete
O00640,C0025,Standing Desk,496.29,22/08/2025,pending
O00276,C0035,Surge Protector,126.88,08-27-2024,canceled
O00345,C0141,Wireless Mouse,44.26,2023-06-20,done
O00174,C0027,Keyboard,239.22,06-03-2023,cancelled
O00333,C0116,Phone Case,98.23,2024-04-13,Completed
O00994,C0053,Keyboard,,2023-11-10,REFUNDED
O00316,C0023,Webcam,283.79,,cancelled
O00882,C0091,External SSD,602.12,13/04/2024,cancelled
O00520,C0130,Bluetooth Speaker,374.22,2024-07-20,done
O00206,C0067,Tablet Stand,74.68,2024-05-07,Cancelled
O00200,C0073,Laptop,3996.2,2024-03-14,Complete
O00821,C0064,Bluetooth Speaker,355.82,02-27-2023,done
O00583,C0113,Whiteboard,44.51,16/02/2025,Completed
O00791,C0050,Pen Set,8.26,07/10/2023,cancel
O00438,C0001,Monitor,356.61,02-29-2024,CANCELLED
O00422,C0047,Cable Organizer,98.4,05/10/2023,cancel
O00642,C0011,Earbuds,121.49,25/11/2024,pend
O00195,C0125,Cable Organizer,96.63,2025-11-21,Refunded
O00483,C0071,Webcam,83.53,11-06-2023,COMPLETED
O00920,C0084,Keyboard,401.55,26/08/2024,completed
O00558,C0015,Whiteboard,139.91,25/05/2025,completed
O00637,C0073,Surge Protector,61.44,2023-10-26,Pending
O00454,C0141,Chair Mat,148.51,08-03-2024,cancelled
O00586,C0176,External SSD,248.83,2025-05-26,refunded
O00771,C0049,Marker Set,64.9,2024-06-18,PENDING
O00147,C0116,Desk Lamp,161.59,11-19-2023,pending
O00794,C0020,Whiteboard,56.92,2025-01-03,pending
O00947,C0036,Surge Protector,152.41,04-22-2025,completed
O00897,C0171,Webcam,75.52,18/09/2023,Cancelled
O00630,C0081,Earbuds,57.76,09-24-2023,pend
O00430,C0063,Standing Desk,1510.46,2024-03-01,pending
O00020,C0155,Monitor,1052.08,2025-10-08,cancel
O00852,C0180,Surge Protector,46.07,09-25-2025,COMPLETED
O00040,C0060,Surge Protector,142.92,2024-10-18,done
O00364,C0003,Wireless Mouse,164.54,14/11/2023,Completed
O00427,C0108,Desk Lamp,133.22,08-14-2024,done
O00562,C0097,Keyboard,85.23,2025-04-28,refund
O00308,C0065,Webcam,355.54,07-18-2024,Complete
O00834,C0087,Notebook,37.96,01-09-2025,pending
O00607,C0149,Monitor,,31/08/2025,cancelled
O00445,C0008,Chair Mat,210.62,2025-03-08,PENDING
O00220,C0088,HDMI Cable,58.72,2025-04-06,done
O00593,C0098,Power Bank,103.79,2023-07-17,Refunded
O00682,C0028,Power Bank,189.5,03-27-2023,refunded
,,Tablet Stand,,,pending
O00340,C0098,Power Bank,111.56,12-10-2023,pend
O00600,C0094,Notebook,25.62,29/11/2024,canceled
O00696,C0117,Chair Mat,115.11,23/04/2024,refund
O00043,C0077,Pen Set,39.84,06/04/2024,done
O00529,C0076,Power Bank,84.72,12-15-2023,Completed
O00164,C0034,Chair Mat,117.95,,refund
O00990,C0133,Surge Protector,142.89,2025-05-30,Cancelled
O00310,C0089,Cable Organizer,77.35,09-01-2023,COMPLETED
O00966,C0113,Notebook,46.07,2025-02-04,Refunded
O00530,C0023,Backpack,307.18,27/08/2025,CANCELLED
O00675,C0130,Bluetooth Speaker,467.68,2025-08-17,Cancelled
O00215,C0081,Tablet Stand,20.11,12-12-2023,refunded
O00303,C0155,Standing Desk,517.41,06-02-2025,pending
O00769,C0140,Tablet Stand,39.64,2023-07-21,pending
O00954,C0139,Monitor,,2024-09-25,pending
O00131,C0031,Laptop,2012.52,12-11-2024,Pending
O00768,C0114,Bluetooth Speaker,281.1,18/06/2023,Refunded
O00941,C0135,Earbuds,132.56,2023-01-06,completed
O00324,C0122,Chair Mat,150.43,01-10-2024,Complete
O00509,C0039,Surge Protector,140.77,17/10/2023,refunded
O00953,C0028,Monitor,354.06,2024-11-18,COMPLETED
O00418,C0153,Standing Desk,2510.98,03-20-2023,cancel
O00513,C0140,USB Cable,45.88,04-04-2023,cancelled
O00441,C0102,Surge Protector,,2023-12-26,pend
O00559,C0073,Notebook,20.67,2023-06-29,cancel
O00853,C0006,Standing Desk,2003.4,14/12/2024,Refunded
O00138,C0012,Pen Set,29.91,28/09/2024,cancel
O00910,C0034,Tablet Stand,122.96,2024-01-26,refunded
O00456,C0028,Pen Set,10.14,07-02-2025,pend
O00137,C0082,Webcam,79.28,2023-04-18,Refunded
O00371,C0083,Surge Protector,39.45,2025-03-04,refunded
O00652,C0169,HDMI Cable,70.67,12/01/2023,cancel
O00603,C0146,Mouse Pad,49.63,15/02/2023,Cancelled
O00204,C0150,Monitor,357.78,02-05-2025,PENDING
O00632,C0095,Phone Case,96.87,2024-04-04,REFUNDED
O00372,C0142,USB Cable,52.03,2024-10-21,cancelled
O00293,C0168,Keyboard,401.24,04-01-2024,canceled
O00984,C0139,Backpack,242.09,06-14-2025,refunded
O00425,C0022,Mouse Pad,61.13,24/11/2023,pending
O00177,C0068,Whiteboard,137.41,03-15-2025,refunded
O00915,C0176,Standing Desk,2519.24,09/11/2025,Cancelled
O00396,C0158,External SSD,,2024-04-23,done
O00579,C0032,Power Bank,79.67,2024-12-20,Pending
O00053,C0128,Standing Desk,1501.4,01/10/2025,canceled
O00213,C0031,Whiteboard,188.21,2023-11-05,pend
O00187,C0082,Surge Protector,25.17,29/10/2024,completed
O00296,C0030,HDMI Cable,66.94,2025-04-21,done
O00375,C0004,Headphones,618.17,08-16-2025,REFUNDED
O00577,C0020,Laptop,,2023-08-09,Refunded
O00811,C0050,Wireless Mouse,78.44,12-22-2023,Complete
O00777,C0151,Laptop,5014.58,11/11/2023,refund
O00173,C0167,Cable Organizer,31.05,,Pending
,,Phone Case,,,pending
O00969,C0172,Keyboard,246.62,2025-08-10,refunded
O00733,C0045,Keyboard,,06-15-2024,Refunded
O00081,C0163,Desk Lamp,81.3,16/05/2025,refunded
O00007,C0044,Mouse Pad,74.32,2024-05-11,refunded
O00023,C0103,Whiteboard,44.61,,Cancelled
O00807,C0165,Wireless Mouse,78.07,06-27-2025,done
O00997,C0067,Whiteboard,46.86,02-17-2023,refunded
O00411,C0106,Desk Lamp,173.6,2024-07-14,refunded
O00140,C0051,Surge Protector,153.96,,REFUNDED
O00058,C0129,Marker Set,51.11,2023-08-08,Completed
O00983,C0110,Mouse Pad,33.8,27/05/2025,COMPLETED
O00409,C0035,Backpack,131.39,20/11/2023,REFUNDED
O00724,C0036,Surge Protector,159.92,03-07-2024,pend
O00377,C0020,Headphones,747.38,2025-02-28,Completed
O00399,C0141,HDMI Cable,88.2,07/02/2023,Refunded
O00536,C0161,External SSD,136.5,11-12-2024,CANCELLED
O00927,C0004,Power Bank,,01-28-2023,done
O00883,C0079,Backpack,196.1,06-07-2023,cancelled
O00528,C0016,Webcam,137.76,2025-05-06,Completed
O00165,C0037,Cable Organizer,32.15,29/05/2023,Cancelled
O00162,C0146,Earbuds,129.06,10-05-2025,refunded
O00680,C0058,HDMI Cable,64.81,04-06-2023,done
O00183,C0100,Mouse Pad,67.1,08-30-2025,refunded
O00096,C0030,Phone Case,72.31,05-06-2025,Cancelled
O00557,C0174,Whiteboard,64.39,01/10/2025,Refunded
O00934,C0092,Keyboard,403.29,2023-06-23,COMPLETED
O00561,C0151,Power Bank,33.58,2024-11-17,refund
O00651,C0101,Notebook,48.18,,cancel
O00334,C0143,Backpack,239.86,03/11/2023,COMPLETED
O00016,C0106,Chair Mat,197.47,01-11-2023,COMPLETED
O00788,C0071,Tablet Stand,127.25,20/03/2024,REFUNDED
O00690,C0078,Surge Protector,,07-26-2024,done
O00612,C0038,Bluetooth Speaker,193.64,10/06/2025,cancelled
O00210,C0047,Desk Lamp,46.76,01-10-2024,cancelled
O00027,C0107,Marker Set,62.77,2024-03-23,cancelled
O00061,C0024,Pen Set,56.39,01-20-2023,refunded
O00235,C0124,HDMI Cable,32.18,10/05/2023,completed
O00469,C0104,USB Cable,26.53,2023-04-19,canceled
O00645,C0081,Surge Protector,126.05,2025-06-20,pending
O00405,C0061,Mouse Pad,51.27,2025-03-03,Pending
O00881,C0014,Surge Protector,96.66,05-06-2025,cancel
O00025,C0016,Whiteboard,51.62,10-26-2025,refunded
O00060,C0118,Earbuds,139.74,06-15-2023,pending
O00435,C0179,Headphones,746.4,29/06/2023,PENDING
O00567,C0067,Tablet Stand,119.32,02-03-2025,completed
O00644,C0093,Backpack,197.54,06-24-2024,COMPLETED
O00895,C0042,USB Cable,,2024-02-11,pending
O00595,C0140,Laptop,1019.76,01/09/2023,Cancelled
O00729,C0179,Laptop,1006.56,2025-06-29,completed
O00150,C0032,Laptop,1015.75,2023-09-25,canceled
O00512,C0017,Headphones,603.39,03/04/2025,refund
O00959,C0021,Tablet Stand,43.81,03-17-2024,COMPLETED
O00866,C0053,Tablet Stand,47.18,2023-03-13,Refunded
O00083,C0180,Standing Desk,2510.9,05-23-2024,COMPLETED
O00307,C0002,Pen Set,38.17,2025-01-11,refund
O00700,C0068,Earbuds,250.87,09-29-2025,COMPLETED
O00067,C0014,Monitor,1400.76,,Pending
O00773,C0102,Bluetooth Speaker,193.06,04-23-2024,REFUNDED
O00188,C0180,Power Bank,183.01,2025-04-28,refund
O00732,C0029,Webcam,357.46,02-01-2024,refund
O00359,C0019,Standing Desk,1999.5,27/05/2024,refunded
